AreaNumb,Hclust,PercSiteDry,TotTreat,PercTreat,PercLarvFnd,PercAeFnd,PercAnFnd,PercCxFnd,PercNonVecFnd,PercVecFnd,AvgLarvDens,AvgAeDens,AvgAnDens,AvgCxDens,AvgNonVecDens,AvgVecDens
S319,1,10.85271318,10,8.695652174,30.50847458,13.55932203,0,25.42372881,1.694915254,25.42372881,2.678611784,0.325181598,0,2.353430186,0.003389831,2.350040355
S335,1,13.69047619,26,17.93103448,44.82758621,15.51724138,1.724137931,39.65517241,0,37.93103448,1.355713539,0.122557471,0.001724138,1.23143193,0,1.215914689
S340,1,7.627118644,4,3.669724771,16.27906977,6.976744186,1.162790698,10.46511628,2.325581395,10.46511628,0.482648117,0.301218162,0.000775194,0.180654762,0.005710133,0.174944629
S369,1,2.189781022,17,12.68656716,23.28767123,0,0,23.28767123,0,21.91780822,1.289726027,0,0,1.289726027,0,1.267808219
S371,1,5.660377358,1,2,5,0,2.5,5,0,5,0.4725,0,0.0025,0.47,0,0.47
S391,1,23.52941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S397,2,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S417,1,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S465,1,1.176470588,24,14.28571429,73.07692308,28.84615385,0,59.61538462,3.846153846,59.61538462,2.582933306,0.547453508,0,2.035479798,0.084615385,1.950864413
S513,1,11.50442478,11,11,22.66666667,6.666666667,0,17.33333333,1.333333333,13.33333333,2.042666667,1.38462963,0,0.653592593,0.006666667,0.643539683
S515,1,13.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S522,1,40.54054054,1,4.545454545,31.81818182,27.27272727,0,18.18181818,0,18.18181818,0.577272727,0.29040404,0,0.286868687,0,0.286868687
S523,1,47.82608696,6,25,80,40,0,40,0,40,4.224313725,0.677647059,0,4.056666667,0,4.056666667
S526,1,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S530,1,38.0952381,6,23.07692308,53.84615385,23.07692308,0,46.15384615,0,46.15384615,8.173076923,3.769230769,0,4.403846154,0,4.403846154
S552,1,45.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S556,1,24.02597403,35,29.91452991,52.77777778,8.333333333,0,50,2.777777778,47.22222222,5.751190476,0.186111111,0,5.565079365,0.013888889,5.491468254
S558,1,17.64705882,1,3.571428571,18.51851852,7.407407407,3.703703704,14.81481481,3.703703704,14.81481481,0.272736626,0.095164609,0.00617284,0.171399177,0.018518519,0.152880658
S559,1,7.692307692,3,8.333333333,14.81481481,3.703703704,0,14.81481481,3.703703704,14.81481481,0.844118844,0.248677249,0,0.595441595,0.037037037,0.558404558
S565,1,13.46153846,8,17.77777778,18.75,3.125,0,15.625,0,15.625,6.249305556,0.104166667,0,6.145138889,0,6.145138889
S567,1,32.35294118,2,8.695652174,42.85714286,28.57142857,4.761904762,33.33333333,9.523809524,28.57142857,1.411337868,0.59047619,0.007936508,0.81292517,0.046031746,0.766893424
S583,2,23.52941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S584,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S587,1,31.57894737,2,7.692307692,62.5,37.5,4.166666667,45.83333333,8.333333333,41.66666667,1.263194444,0.298412698,0.020833333,0.943948413,0.059722222,0.880059524
S590,1,48,7,13.46153846,32.35294118,5.882352941,0,26.47058824,5.882352941,20.58823529,4.363305322,0.532352941,0,3.830952381,0.12745098,3.656932773
S597,1,8.556149733,35,20.46783626,48.93617021,8.510638298,0,42.55319149,6.382978723,38.29787234,5.154255319,1.496808511,0,3.64893617,0.059574468,3.587234043
S598,1,24.3902439,2,6.451612903,31.03448276,13.79310345,3.448275862,13.79310345,0,13.79310345,0.644827586,0.320689655,0.013793103,0.289655172,0,0.289655172
S607,1,25.82781457,14,12.5,64.1509434,39.62264151,3.773584906,37.73584906,1.886792453,37.73584906,5.247918198,1.896560279,0.011320755,3.234376787,0.009433962,3.224942824
S615,1,33.33333333,2,50,100,0,0,100,0,100,7.892857143,0,0,7.892857143,0,7.892857143
S618,1,10.52631579,4,7.843137255,55.88235294,44.11764706,0,29.41176471,2.941176471,26.47058824,3.463883053,2.025647759,0,1.438235294,0.004901961,1.433333333
S619,1,59.25925926,6,27.27272727,66.66666667,33.33333333,0,46.66666667,0,46.66666667,17.12222222,3.188888889,0,13.93333333,0,13.93333333
S620,1,10,18,14.28571429,39.58333333,14.58333333,2.083333333,35.41666667,4.166666667,35.41666667,3.176799242,0.09375,0.002083333,3.075410354,0.00625,3.069160354
S676,1,26.82926829,4,13.33333333,38.0952381,19.04761905,0,38.0952381,0,33.33333333,1.474716553,0.386416361,0,1.088300192,0,1.075601779
S700,1,0.826446281,16,13.33333333,42.62295082,8.196721311,1.639344262,36.06557377,1.639344262,36.06557377,2.13362903,0.014828614,0.001639344,2.117161072,0.103278689,2.013882384
S715,2,56,3,13.63636364,47.61904762,33.33333333,4.761904762,19.04761905,0,19.04761905,6.384920635,3.554988662,0.020408163,2.80952381,0,2.80952381
S718,2,3.333333333,0,0,10.34482759,0,6.896551724,10.34482759,6.896551724,3.448275862,0.324904215,0,0.064655172,0.260249042,0.175,0.077586207
S719,2,9.677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S724,2,2.631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S725,1,0,25,14.79289941,36.92307692,4.615384615,0,32.30769231,1.538461538,32.30769231,2.795842491,0.017948718,0,2.772765568,0.007692308,2.76507326
S900,1,19.04761905,7,20.58823529,47.36842105,31.57894737,0,42.10526316,10.52631579,42.10526316,7.222807018,2.812280702,0,4.410526316,0.570175439,3.840350877
S969,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S972,1,3.703703704,2,7.692307692,22.22222222,0,0,22.22222222,0,16.66666667,0.838888889,0,0,0.838888889,0,0.833333333
S973,1,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1931,1,5.882352941,9,18.75,52.94117647,29.41176471,0,50,5.882352941,50,5.26302521,0.425210084,0,4.837815126,0.020168067,4.817647059
S1932,1,3.157894737,21,22.82608696,34,18,0,28,2,28,2.183166667,0.418666667,0,1.7645,0.02,1.7445
S2041,2,27.65957447,1,2.941176471,30.3030303,0,18.18181818,24.24242424,18.18181818,12.12121212,1.086580087,0,0.03968254,1.043867244,0.125541126,0.906204906
S3262,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3333,1,1.709401709,8,6.956521739,14.45783133,3.614457831,2.409638554,12.04819277,2.409638554,10.84337349,0.883232932,0.108835341,0.002409639,0.771987952,0.010843373,0.749096386
S3921,2,6.896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3922,1,2.824858757,33,19.18604651,49.01960784,3.921568627,0,45.09803922,1.960784314,45.09803922,2.223780231,0.032244009,0,2.191536222,0.001960784,2.189575438
S4022,1,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8300,2,19.44444444,4,13.79310345,28.57142857,4.761904762,4.761904762,23.80952381,0,23.80952381,10.49437229,0.004329004,0.014285714,10.47575758,0,10.47575758
S8301,1,54.54545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8512,2,39.39393939,6,30,41.66666667,0,8.333333333,41.66666667,8.333333333,41.66666667,4.680555556,0,0.010416667,4.670138889,0.114583333,4.555555556
S9007,1,32.14285714,1,5.263157895,70.58823529,23.52941176,5.882352941,47.05882353,17.64705882,29.41176471,3.01092437,2.341176471,0.049019608,0.620728291,0.270588235,0.323529412
S9009,1,37.93103448,3,16.66666667,43.75,18.75,0,43.75,12.5,37.5,4.083630952,0.158333333,0,3.925297619,0.197916667,3.727380952
S9014,1,57.14285714,5,41.66666667,100,60,20,100,40,100,19.58444444,7.885714286,0.022222222,11.67650794,2.58,9.096507937
S9019,1,15.38461538,6,18.18181818,33.33333333,11.11111111,0,29.62962963,0,29.62962963,6.039506173,0.188888889,0,5.850617284,0,5.850617284
S9098,1,23.07692308,1,10,60,40,0,60,20,60,4.783809524,0.123809524,0,4.66,2,2.66
S9601,1,2.040816327,5,10.41666667,53.84615385,15.38461538,0,38.46153846,0,38.46153846,6.302564103,0.064102564,0,6.238461538,0,6.238461538
S9970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9971,1,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
